"Larry","The","Launcher"
"0","103064.50","20.62"
"0.7614342000000107","103061.75","20.62"
"1.1494994000000105","103062.50","20.62"
"1.5295097999999996","103066.50","20.62"
"1.9024854000000033","103062.75","20.62"
"2.2732356000000067","103068.25","20.62"
"2.664002200000013","103065.50","20.62"
"3.0421209999999945","103066.25","20.62"
"3.4195437999999996","103067.25","20.62"
"3.8033069000000097","103063.25","20.62"
"4.172401800000003","103072.75","20.62"
"4.5634039000000115","103068.75","20.62"
"4.932635600000012","103071.00","20.62"
"5.3213731999999965","103068.75","20.62"
"5.693521700000005","103070.50","20.62"
"6.082597400000012","103068.50","20.62"
"6.461960700000006","103070.50","20.62"
"6.845473500000011","103065.75","20.62"
"7.225141100000016","103068.00","20.62"
"7.590284699999998","103070.50","20.62"
"7.972262399999991","103069.75","20.62"
"8.353314600000019","103070.00","20.62"
"8.742484900000008","103068.25","20.62"
"9.145696900000004","103071.75","20.62"
"9.494264999999999","103071.25","20.62"
"9.882761300000013","103071.25","20.62"
"10.286934899999991","103071.25","20.62"
"10.631846299999992","103067.25","20.62"
"11.01182710000002","103070.50","20.62"
"11.398895999999993","103069.50","20.62"
"11.784161099999992","103071.00","20.62"
"12.15303870000001","103066.25","20.62"
"12.569169700000018","103073.50","20.62"
"12.91301510000001","103071.75","20.62"
"13.301298000000017","103072.75","20.62"
"13.713155299999997","103072.75","20.62"
"14.088211700000002","103071.00","20.62"
"14.44332580000001","103071.00","20.62"
"14.853995799999993","103069.00","20.62"
"15.2004917","103068.25","20.62"
"15.585520500000015","103071.00","20.62"
"15.950019699999999","103069.75","20.62"
"16.3393655","103068.75","20.62"
"16.743539799999994","103065.50","20.62"
"17.103487200000004","103068.00","20.62"
"17.469124800000017","103066.25","20.62"
"17.863155600000013","103067.75","20.62"
"18.23588790000001","103069.25","20.62"
"18.62316460000001","103066.75","20.62"
"18.99937419999999","103069.00","20.62"
"19.422904700000018","103068.75","20.62"
"19.739938400000014","103069.50","20.62"
"20.13250460000002","103068.00","20.62"
"20.512147299999995","103069.75","20.62"
"20.952416000000014","103065.25","20.62"
"21.252478100000005","103066.75","20.62"
"21.663390800000016","103064.00","20.62"
"22.028526900000017","103067.00","20.62"
"22.399945200000005","103066.00","20.62"
"22.781025200000002","103065.25","20.62"
"23.16607180000001","103066.00","20.62"
"23.540429900000007","103066.75","20.62"
"23.933508599999996","103066.50","20.62"
"24.29044230000001","103065.25","20.62"
"24.667538100000016","103065.75","20.62"
"25.053392200000005","103067.00","20.62"
"25.442536300000015","103067.50","20.62"
"25.818507999999994","103064.25","20.62"
"26.203500599999998","103065.25","20.62"
"26.60212700000001","103067.75","20.62"
"26.953274199999996","103069.25","20.62"
"27.34452850000001","103070.00","20.62"
"27.71352130000001","103069.00","20.62"
"28.111338500000002","103068.75","20.62"
"28.472440600000013","103067.50","20.62"
"28.853503500000002","103065.25","20.56"
"29.231354200000013","103068.25","20.62"
